electrcity_use_kwh,occupied,hour,day_of_week,building_BUILD_H_01,building_BUILD_H_03,building_BUILD_H_04,building_BUILD_H_05,building_BUILD_H_06,building_BUILD_H_07,building_BUILD_H_08
0.36,1,23,0,True,False,False,False,False,False,False
0.18,1,0,1,True,False,False,False,False,False,False
0.16,1,1,1,True,False,False,False,False,False,False
0.17,1,2,1,True,False,False,False,False,False,False
0.18,1,3,1,True,False,False,False,False,False,False
0.17,1,4,1,True,False,False,False,False,False,False
0.18,1,5,1,True,False,False,False,False,False,False
0.27,1,6,1,True,False,False,False,False,False,False
1.01,1,7,1,True,False,False,False,False,False,False
1.24,1,8,1,True,False,False,False,False,False,False
0.55,1,9,1,True,False,False,False,False,False,False
1.89,1,10,1,True,False,False,False,False,False,False
0.52,1,11,1,True,False,False,False,False,False,False
0.76,1,12,1,True,False,False,False,False,False,False
0.22,1,13,1,True,False,False,False,False,False,False
0.34,1,14,1,True,False,False,False,False,False,False
0.78,1,15,1,True,False,False,False,False,False,False
2.68,1,16,1,True,False,False,False,False,False,False
1.38,1,17,1,True,False,False,False,False,False,False
1.46,1,18,1,True,False,False,False,False,False,False
1.0,1,19,1,True,False,False,False,False,False,False
0.5,1,20,1,True,False,False,False,False,False,False
0.45,1,21,1,True,False,False,False,False,False,False
0.38,1,22,1,True,False,False,False,False,False,False
0.27,1,23,1,True,False,False,False,False,False,False
0.19,1,0,2,True,False,False,False,False,False,False
0.17,1,1,2,True,False,False,False,False,False,False
0.18,1,2,2,True,False,False,False,False,False,False
0.18,1,3,2,True,False,False,False,False,False,False
0.18,1,4,2,True,False,False,False,False,False,False
0.19,1,5,2,True,False,False,False,False,False,False
0.36,1,6,2,True,False,False,False,False,False,False
2.75,1,7,2,True,False,False,False,False,False,False
1.38,1,8,2,True,False,False,False,False,False,False
1.06,1,9,2,True,False,False,False,False,False,False
0.72,1,10,2,True,False,False,False,False,False,False
0.28,1,11,2,True,False,False,False,False,False,False
0.41,1,12,2,True,False,False,False,False,False,False
0.22,1,13,2,True,False,False,False,False,False,False
0.39,1,14,2,True,False,False,False,False,False,False
0.89,1,15,2,True,False,False,False,False,False,False
3.26,1,16,2,True,False,False,False,False,False,False
0.93,1,17,2,True,False,False,False,False,False,False
1.52,1,18,2,True,False,False,False,False,False,False
1.62,1,19,2,True,False,False,False,False,False,False
0.91,1,20,2,True,False,False,False,False,False,False
0.75,1,21,2,True,False,False,False,False,False,False
0.49,1,22,2,True,False,False,False,False,False,False
0.36,1,23,2,True,False,False,False,False,False,False
0.2,1,0,3,True,False,False,False,False,False,False
0.19,1,1,3,True,False,False,False,False,False,False
0.17,1,2,3,True,False,False,False,False,False,False
0.19,1,3,3,True,False,False,False,False,False,False
0.17,1,4,3,True,False,False,False,False,False,False
0.17,1,5,3,True,False,False,False,False,False,False
0.3,1,6,3,True,False,False,False,False,False,False
0.45,1,7,3,True,False,False,False,False,False,False
0.89,1,8,3,True,False,False,False,False,False,False
0.15,0,9,3,True,False,False,False,False,False,False
0.14,0,10,3,True,False,False,False,False,False,False
0.14,0,11,3,True,False,False,False,False,False,False
0.19,1,12,3,True,False,False,False,False,False,False
0.17,1,13,3,True,False,False,False,False,False,False
0.18,1,14,3,True,False,False,False,False,False,False
0.33,1,15,3,True,False,False,False,False,False,False
0.93,1,16,3,True,False,False,False,False,False,False
1.38,1,17,3,True,False,False,False,False,False,False
0.84,1,18,3,True,False,False,False,False,False,False
0.9,1,19,3,True,False,False,False,False,False,False
0.41,1,20,3,True,False,False,False,False,False,False
0.39,1,21,3,True,False,False,False,False,False,False
0.38,1,22,3,True,False,False,False,False,False,False
0.31,1,23,3,True,False,False,False,False,False,False
0.23,1,0,4,True,False,False,False,False,False,False
0.21,1,1,4,True,False,False,False,False,False,False
0.19,1,2,4,True,False,False,False,False,False,False
0.18,1,3,4,True,False,False,False,False,False,False
0.18,1,4,4,True,False,False,False,False,False,False
0.18,1,5,4,True,False,False,False,False,False,False
0.31,1,6,4,True,False,False,False,False,False,False
0.49,1,7,4,True,False,False,False,False,False,False
0.22,0,8,4,True,False,False,False,False,False,False
0.16,0,9,4,True,False,False,False,False,False,False
0.15,0,10,4,True,False,False,False,False,False,False
0.14,0,11,4,True,False,False,False,False,False,False
0.13,0,12,4,True,False,False,False,False,False,False
0.14,0,13,4,True,False,False,False,False,False,False
0.16,1,14,4,True,False,False,False,False,False,False
0.17,1,15,4,True,False,False,False,False,False,False
0.15,1,16,4,True,False,False,False,False,False,False
1.23,1,17,4,True,False,False,False,False,False,False
0.6,1,18,4,True,False,False,False,False,False,False
1.03,1,19,4,True,False,False,False,False,False,False
0.75,1,20,4,True,False,False,False,False,False,False
0.47,1,21,4,True,False,False,False,False,False,False
0.35,1,22,4,True,False,False,False,False,False,False
0.3,1,23,4,True,False,False,False,False,False,False
0.17,1,0,5,True,False,False,False,False,False,False
0.17,1,1,5,True,False,False,False,False,False,False
0.17,1,2,5,True,False,False,False,False,False,False
0.16,1,3,5,True,False,False,False,False,False,False
0.18,1,4,5,True,False,False,False,False,False,False
0.18,1,5,5,True,False,False,False,False,False,False
0.27,1,6,5,True,False,False,False,False,False,False
0.23,1,7,5,True,False,False,False,False,False,False
0.6,1,8,5,True,False,False,False,False,False,False
0.2,1,9,5,True,False,False,False,False,False,False
0.15,0,10,5,True,False,False,False,False,False,False
0.16,0,11,5,True,False,False,False,False,False,False
0.32,1,12,5,True,False,False,False,False,False,False
0.52,1,13,5,True,False,False,False,False,False,False
0.41,1,14,5,True,False,False,False,False,False,False
0.31,1,15,5,True,False,False,False,False,False,False
1.97,1,16,5,True,False,False,False,False,False,False
1.29,1,17,5,True,False,False,False,False,False,False
0.34,0,18,5,True,False,False,False,False,False,False
0.26,0,19,5,True,False,False,False,False,False,False
1.09,1,20,5,True,False,False,False,False,False,False
1.13,1,21,5,True,False,False,False,False,False,False
0.66,1,22,5,True,False,False,False,False,False,False
0.28,1,23,5,True,False,False,False,False,False,False
0.18,1,0,6,True,False,False,False,False,False,False
0.19,1,1,6,True,False,False,False,False,False,False
0.18,1,2,6,True,False,False,False,False,False,False
0.18,1,3,6,True,False,False,False,False,False,False
0.18,1,4,6,True,False,False,False,False,False,False
0.18,1,5,6,True,False,False,False,False,False,False
0.26,1,6,6,True,False,False,False,False,False,False
0.19,1,7,6,True,False,False,False,False,False,False
1.02,1,8,6,True,False,False,False,False,False,False
0.45,1,9,6,True,False,False,False,False,False,False
0.46,1,10,6,True,False,False,False,False,False,False
0.2,1,11,6,True,False,False,False,False,False,False
0.33,1,12,6,True,False,False,False,False,False,False
0.25,1,13,6,True,False,False,False,False,False,False
0.22,1,14,6,True,False,False,False,False,False,False
0.24,1,15,6,True,False,False,False,False,False,False
2.57,1,16,6,True,False,False,False,False,False,False
0.9,1,17,6,True,False,False,False,False,False,False
0.41,1,18,6,True,False,False,False,False,False,False
0.49,1,19,6,True,False,False,False,False,False,False
0.99,1,20,6,True,False,False,False,False,False,False
0.45,1,21,6,True,False,False,False,False,False,False
0.42,1,22,6,True,False,False,False,False,False,False
0.26,1,23,6,True,False,False,False,False,False,False
0.19,1,0,0,True,False,False,False,False,False,False
0.18,1,1,0,True,False,False,False,False,False,False
0.2,1,2,0,True,False,False,False,False,False,False
0.18,1,3,0,True,False,False,False,False,False,False
0.18,1,4,0,True,False,False,False,False,False,False
0.16,1,5,0,True,False,False,False,False,False,False
0.26,1,6,0,True,False,False,False,False,False,False
0.37,1,7,0,True,False,False,False,False,False,False
0.61,1,8,0,True,False,False,False,False,False,False
0.19,1,9,0,True,False,False,False,False,False,False
0.17,1,10,0,True,False,False,False,False,False,False
0.15,1,11,0,True,False,False,False,False,False,False
0.26,1,12,0,True,False,False,False,False,False,False
0.21,1,13,0,True,False,False,False,False,False,False
0.32,1,14,0,True,False,False,False,False,False,False
0.2,1,15,0,True,False,False,False,False,False,False
0.34,1,16,0,True,False,False,False,False,False,False
0.52,1,17,0,True,False,False,False,False,False,False
0.47,1,18,0,True,False,False,False,False,False,False
0.89,1,19,0,True,False,False,False,False,False,False
0.49,1,20,0,True,False,False,False,False,False,False
0.82,1,21,0,True,False,False,False,False,False,False
0.46,1,22,0,True,False,False,False,False,False,False
0.85,1,22,6,False,True,False,False,False,False,False
0.86,1,23,6,False,True,False,False,False,False,False
0.18,1,0,0,False,True,False,False,False,False,False
0.17,1,1,0,False,True,False,False,False,False,False
0.15,1,2,0,False,True,False,False,False,False,False
0.14,1,3,0,False,True,False,False,False,False,False
0.14,1,4,0,False,True,False,False,False,False,False
0.15,1,5,0,False,True,False,False,False,False,False
0.24,1,6,0,False,True,False,False,False,False,False
0.14,1,7,0,False,True,False,False,False,False,False
0.22,1,8,0,False,True,False,False,False,False,False
0.2,1,9,0,False,True,False,False,False,False,False
